item_name,canonical_key,buddy_url,notes
Croissant,croissant,https://buddy.farm/i/croissant/,BL-325 generated slug candidate from new item seed.
Blitz Buddy Doll,blitz buddy doll,https://buddy.farm/i/blitz-buddy-doll/,BL-325 generated slug candidate from new item seed.
Glyph Sphere,glyph sphere,https://buddy.farm/i/glyph-sphere/,BL-325 generated slug candidate from new item seed.
Lorn's Expedition Kit,lorn's expedition kit,https://buddy.farm/i/lorns-expedition-kit/,BL-325 generated slug candidate from new item seed; alternate apostrophe slug remains reviewable if this target fails.
Temple Voucher,temple voucher,https://buddy.farm/i/temple-voucher/,BL-325 generated slug candidate from new item seed.
