item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,page_title,extraction_status,observation_status,icon_url,icon_pathname,icon_filename,icon_asset_key,farmrpg_item_id_candidate,flags,notes
11th Leaf Centerpiece,11th leaf centerpiece,11th-leaf-centerpiece,https://buddy.farm/i/11th-leaf-centerpiece/,11th Leaf Centerpiece,icon_found,observed,https://farmrpg.com/img/items/centerpiece.png,/img/items/centerpiece.png,centerpiece.png,centerpiece,,,
Apple Ant Buddy Doll,apple ant buddy doll,apple-ant-buddy-doll,https://buddy.farm/i/apple-ant-buddy-doll/,Apple Ant Buddy Doll,icon_found,observed,https://farmrpg.com/img/items/ant_apple_buddy_doll.png,/img/items/ant_apple_buddy_doll.png,ant_apple_buddy_doll.png,ant_apple_buddy_doll,,,
Board,board,board,https://buddy.farm/i/board/,Board,icon_found,observed,https://farmrpg.com/img/items/5885.png,/img/items/5885.png,5885.png,5885,5885,,
Fancy Pipe,fancy pipe,fancy-pipe,https://buddy.farm/i/fancy-pipe/,Fancy Pipe,icon_found,observed,https://farmrpg.com/img/items/7275.png?1,/img/items/7275.png,7275.png,7275,7275,,
