item_name,canonical_key,buddy_url,notes
Mega Pine Seeds,mega pine seeds,https://buddy.farm/i/mega-pine-seeds/,user-screenshot candidate
Cid's Spare Pickaxe,cid's spare pickaxe,https://buddy.farm/i/cids-spare-pickaxe/,generated slug candidate
Cid's Spare Pickaxe,cid's spare pickaxe,https://buddy.farm/i/cid-s-spare-pickaxe/,bounded apostrophe fallback
Mining Bag 05,mining bag 05,https://buddy.farm/i/mining-bag-05/,user-screenshot candidate
Mining Bag 04,mining bag 04,https://buddy.farm/i/mining-bag-04/,user-screenshot candidate
Mining Bag 03,mining bag 03,https://buddy.farm/i/mining-bag-03/,user-screenshot candidate
Mining Bag 02,mining bag 02,https://buddy.farm/i/mining-bag-02/,user-confirmed candidate
Mining Bag 01,mining bag 01,https://buddy.farm/i/mining-bag-01/,user-confirmed candidate
Wooden Footstool,wooden footstool,https://buddy.farm/i/wooden-footstool/,user-supplied URL
Heavy Pickaxe,heavy pickaxe,https://buddy.farm/i/heavy-pickaxe/,user-supplied URL
