item_name,canonical_key,buddy_url,page_data_url,cache_file_name,status,http_status,source_status,fetched_at,flags,notes
Croissant,croissant,https://buddy.farm/i/croissant/,https://buddy.farm/page-data/i/croissant/page-data.json,croissant__croissant.json,cached,200,sources_blank,2026-08-09T04:34:50.780Z,sources_blank,BL-325 generated slug candidate from new item seed.
Blitz Buddy Doll,blitz buddy doll,https://buddy.farm/i/blitz-buddy-doll/,https://buddy.farm/page-data/i/blitz-buddy-doll/page-data.json,blitz-buddy-doll__blitz-buddy-doll.json,cached,200,sources_blank,2026-08-09T04:34:50.780Z,sources_blank,BL-325 generated slug candidate from new item seed.
Lorn's Expedition Kit,lorn's expedition kit,https://buddy.farm/i/lorns-expedition-kit/,https://buddy.farm/page-data/i/lorns-expedition-kit/page-data.json,lorn-s-expedition-kit__lorns-expedition-kit.json,http_error,404,uncertain,2026-08-09T04:34:50.780Z,http_404,BL-325 generated slug candidate from new item seed; alternate apostrophe slug remains reviewable if this target fails.; Expected a successful Buddy page-data fetch but received HTTP 404.
Temple Voucher,temple voucher,https://buddy.farm/i/temple-voucher/,https://buddy.farm/page-data/i/temple-voucher/page-data.json,temple-voucher__temple-voucher.json,cached,200,sources_blank,2026-08-09T04:34:50.780Z,sources_blank,BL-325 generated slug candidate from new item seed.
