target_type,target_name,buddy_url,notes
item,Glass Orb,https://buddy.farm/i/glass-orb/,BL-169 item-source sample
location,Ember Lagoon,https://buddy.farm/l/ember-lagoon/,BL-169 location-source sample
item,Pumpkin Seeds,https://buddy.farm/i/pumpkin-seeds/,BL-169 seed-output sample
