target_type,target_name,buddy_url,page_data_url,extraction_status,http_status,drop_rate_row_count,flags,notes
item,Glass Orb,https://buddy.farm/i/glass-orb/,https://buddy.farm/page-data/i/glass-orb/page-data.json,extracted,200,4,,
location,Ember Lagoon,https://buddy.farm/l/ember-lagoon/,https://buddy.farm/page-data/l/ember-lagoon/page-data.json,extracted,200,44,,
item,Pumpkin Seeds,https://buddy.farm/i/pumpkin-seeds/,https://buddy.farm/page-data/i/pumpkin-seeds/page-data.json,extracted,200,2,,
