item_name,canonical_key,generated_buddy_slug,candidate_buddy_url,icon_url,icon_pathname,icon_filename,icon_asset_key,farmrpg_item_id_candidate,cache_status,http_status,cache_filename,local_relative_path,flags,notes
Highland Hollow Charm,highland hollow charm,highland-hollow-charm,https://buddy.farm/i/highland-hollow-charm/,https://farmrpg.com/img/items/Fairy_crystal_charm.png,/img/items/Fairy_crystal_charm.png,Fairy_crystal_charm.png,Fairy_crystal_charm,1524,downloaded,200,Fairy_crystal_charm-c52f358a7e6c.png,generated/item-icons/Fairy_crystal_charm-c52f358a7e6c.png,,Observed from cached Buddy page-data for BL-329; user confirmed not masterable.
Mariya's Wheelbarrow,mariya s wheelbarrow,mariya-s-wheelbarrow,https://buddy.farm/i/mariya-s-wheelbarrow/,https://farmrpg.com/img/items/viri_4734-b.png,/img/items/viri_4734-b.png,viri_4734-b.png,viri_4734-b,1536,downloaded,200,viri_4734-b-b94267189839.png,generated/item-icons/viri_4734-b-b94267189839.png,,Observed from cached Buddy page-data for BL-329; generated no-apostrophe slug returned 404 and apostrophe-preserving alternate was confirmed; user confirmed not masterable.
Spring Cave Charm,spring cave charm,spring-cave-charm,https://buddy.farm/i/spring-cave-charm/,https://farmrpg.com/img/items/Spring_cave_Charm.png,/img/items/Spring_cave_Charm.png,Spring_cave_Charm.png,Spring_cave_Charm,1523,downloaded,200,Spring_cave_Charm-5c50919a37a5.png,generated/item-icons/Spring_cave_Charm-5c50919a37a5.png,,Observed from cached Buddy page-data for BL-329; user confirmed not masterable.
Veggie Juice Instruction Sheet,veggie juice instruction sheet,veggie-juice-instruction-sheet,https://buddy.farm/i/veggie-juice-instruction-sheet/,https://farmrpg.com/img/items/6978.png,/img/items/6978.png,6978.png,6978,1535,downloaded,200,6978-a3d320301ed5.png,generated/item-icons/6978-a3d320301ed5.png,,Observed from cached Buddy page-data for BL-329; user confirmed not masterable.
