item_name,canonical_key,buddy_url,page_data_url,cache_file_name,status,http_status,source_status,fetched_at,flags,notes
Groundhog Buddy Doll,groundhog buddy doll,https://buddy.farm/i/groundhog-buddy-doll/,https://buddy.farm/page-data/i/groundhog-buddy-doll/page-data.json,groundhog-buddy-doll__groundhog-buddy-doll.json,cached,200,sources_blank,2026-06-04T21:57:44.440Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
Present 02,present 02,https://buddy.farm/i/present-02/,https://buddy.farm/page-data/i/present-02/page-data.json,present-02__present-02.json,cached,200,sources_blank,2026-06-04T21:57:44.440Z,sources_blank,BL-248 current museum universe item; refresh Buddy page evidence for parsing work.
